month;day;feminicide;homicide;felony_murder;bodily_harm;theft_cellphone;robbery_cellphone;theft_auto;armed_robbery_auto;criminal_index
1;1;0;8;0;0;346;632;40;226;1252
1;2;0;8;0;2;232;538;82;92;954
1;3;0;6;0;0;248;498;112;94;958
1;4;0;8;0;0;302;582;132;158;1182
1;5;0;10;0;2;296;634;186;158;1286
1;6;0;12;2;0;302;676;130;182;1304
1;7;0;8;2;0;324;580;104;134;1152
1;8;0;4;2;0;262;504;158;166;1096
1;9;0;6;0;0;270;644;170;180;1270
1;10;0;6;0;0;334;652;278;178;1448
1;11;2;16;0;0;342;652;314;194;1520
1;12;0;2;0;0;306;734;272;208;1522
1;13;0;4;0;0;388;664;222;190;1468
1;14;0;18;0;0;404;646;166;218;1452
1;15;2;16;2;0;316;682;218;204;1440
1;16;0;2;4;0;322;678;226;170;1402
1;17;0;4;0;0;308;676;304;178;1470
1;18;2;2;6;0;314;656;314;224;1518
1;19;0;4;0;0;344;722;352;202;1624
1;20;0;2;0;0;320;752;242;214;1530
1;21;0;14;4;0;306;532;206;186;1248
1;22;0;4;4;0;268;584;222;188;1270
1;23;0;10;0;0;298;714;256;210;1488
1;24;0;8;0;0;454;808;328;242;1840
1;25;0;10;0;0;1062;886;260;262;2480
1;26;0;2;0;0;342;682;234;174;1434
1;27;0;8;4;0;402;798;216;202;1630
1;28;0;4;4;0;590;702;182;252;1734
1;29;0;10;0;0;448;706;200;258;1622
1;30;0;0;0;0;368;700;228;202;1498
1;31;0;12;0;0;358;732;336;196;1634
2;1;0;4;0;0;278;712;354;174;1522
2;2;0;14;0;0;306;698;312;190;1520
2;3;0;12;0;2;696;854;232;256;2052
2;4;0;26;0;0;450;746;154;198;1574
2;5;0;6;0;0;314;596;180;226;1322
2;6;0;2;0;0;244;528;138;150;1062
2;7;0;6;0;0;392;636;340;192;1566
2;8;0;4;0;0;432;800;316;240;1792
2;9;0;12;0;0;396;772;328;218;1726
2;10;0;4;2;0;474;844;282;208;1814
2;11;0;14;0;0;1534;806;220;226;2800
2;12;0;10;0;0;446;718;206;218;1598
2;13;0;12;0;0;428;732;196;162;1530
2;14;0;0;0;0;392;742;304;196;1634
2;15;0;10;2;0;414;748;314;182;1670
2;16;0;8;0;0;522;800;310;250;1890
2;17;0;8;0;0;660;824;216;262;1970
2;18;0;14;0;0;2576;1152;188;274;4204
2;19;0;14;4;0;1790;1018;202;240;3268
2;20;0;24;0;0;388;768;248;174;1602
2;21;0;10;0;0;372;758;368;248;1756
2;22;0;2;0;0;344;784;330;220;1680
2;23;0;18;0;0;362;804;250;248;1682
2;24;0;0;0;0;486;716;200;236;1638
2;25;0;6;0;0;1800;830;142;190;2968
2;26;0;12;0;0;1658;838;136;198;2842
2;27;0;8;0;0;846;744;98;172;1868
2;28;0;4;0;0;738;766;118;212;1838
3;1;0;6;0;0;230;682;122;224;1264
3;2;0;14;2;0;298;718;204;172;1408
3;3;0;4;0;0;354;784;196;196;1534
3;4;0;2;0;0;1510;908;212;248;2880
3;5;0;8;0;0;1062;880;210;208;2368
3;6;0;12;0;0;284;728;224;168;1416
3;7;0;10;0;0;408;650;322;156;1546
3;8;0;4;0;0;402;726;340;186;1658
3;9;0;10;0;0;302;678;284;226;1500
3;10;0;10;0;0;538;860;240;226;1874
3;11;0;6;0;0;478;640;182;196;1502
3;12;0;14;2;0;312;658;224;220;1430
3;13;0;8;2;0;436;732;248;170;1596
3;14;0;10;0;0;466;806;336;190;1808
3;15;0;10;0;0;478;720;338;200;1746
3;16;0;4;0;0;482;804;314;230;1834
3;17;2;4;0;0;486;904;268;240;1904
3;18;0;10;2;0;464;702;204;200;1582
3;19;0;6;0;0;226;576;236;186;1230
3;20;0;2;0;0;406;806;278;178;1670
3;21;0;0;0;0;470;838;278;198;1784
3;22;0;10;0;0;534;708;356;204;1812
3;23;0;16;0;0;490;756;316;224;1802
3;24;0;10;0;0;502;866;232;214;1824
3;25;0;6;2;0;632;618;204;192;1654
3;26;0;0;0;0;408;670;192;222;1492
3;27;0;4;0;0;384;770;214;168;1540
3;28;0;6;0;0;484;814;388;202;1894
3;29;0;2;0;0;464;802;356;260;1884
3;30;0;6;2;0;450;806;328;224;1816
3;31;0;6;4;0;482;866;222;246;1826
4;1;2;16;0;0;622;670;214;208;1732
4;2;0;10;0;0;324;666;228;184;1412
4;3;0;6;0;0;430;748;224;168;1576
4;4;0;6;0;0;450;872;300;244;1872
4;5;0;8;2;0;442;796;390;202;1840
4;6;0;10;0;0;492;754;300;202;1758
